name, image_filename, research_summary, background_traits, special_powers, colors, outfit_idea
Nick Jackson, nick.png, Professor and interdisciplinary master of computational chemistry, American that loves to play blue grass music and banjo, Fearless leader of the team and endless curiosity, orange-blue, superhero bodysuit with silver textures
Vishnu Raghuraman, vishnu.jpg, High performance computing expert, Indian with a love for movies and videogames, Debugger extraordinaire, blue-gold-black, superhero bodysuit with gold circuits
Katie Kidder, katie.jpg, Coarse-grained molecular dynamics expert, American with a sense of nostalgia, Meticulous and precise math formulations, blue-silver-black, superhero bodysuit with white graph networks
Viviana Palacio, viviana.jpg, Develops multiscale models of liquid crystals for soft matter applications., Afrolatina immigrant from Colombia with a Black and tan Shiba Inu, Multiscale modeler; Phase Whisperer, red-gold-blue, superhero bodysuit with shimmering liquid crystal textures
Archana Verma, archana.jpg, Monte Carlo simulations of doping in semiconductors, Indian American that went to Stanford and loves to dance, Communicative, red-gold-black, superhero bodysuit with different colored dots
Seonghwan Kim, seonghwan.jpg, Machine Learning and AI expert for polymer science, Korean that loves cats and is very social, ML Materializer; Inquisitive; Polymer Guy, blue-gold-silver, superhero bodysuit with gold graph networks
Shruti Iyer, shruti.jpeg,Organic chemist turned computational physical chemist with a passion for uniting theory and experiments, Indian that loves music and very friendly, ML Materializer; Big data Whisperer, purple-gold-white,superhero bodysuit with shimery polymer structures
Jason Wu, jason.jpg, Synthetic chemist and Machine Learning and AI expert for chemistry, Chinese American from Boston that likes sports and is friend to all, Synthetic Chemist Superstar; Phase Whisperer, green-silver-black, superhero bodysuit with chemistry and ML models
Anna DeBernardo, anna.jpg, Machine Learning and AI expert for computational chemistry  with a prestigious NSF fellowship, American with a small blue parakeet that loves videogames and boardgames, ML Materializer; Communicator of Science; Hamiltonian wizard, blue-silver-red, superhero bodysuit with gold graph networks
Huihang Qiu, huihang.jpg, Machine Learning and AI expert for computational chemistry," Chinese with a love for sports, went to college in Japan", ML Materializer; Coarse-graining guru, blue-gold-black,superhero bodysuit with textures of semiconductor polymers
Eliza Asani, eliza.jpg, Sequence specific polymer design and ML for computational chemistry with prestigious DoE fellowship, Indian American with a love for crafts and cats, ML Materializer; Chemist of the future, blue-silver-lilac, superhero bodysuit with gold graph networks
Matthew Too, matthew.jpg, Quantum chemistry expert, Chinese American with ties to Montreral that loves JPop and nerdy science topics, Theoretical chemist; Math Conjurer, blue-gold-black, superhero bodysuit with shiny molecular orbitals
Jingdan Chen, jingdan.jpg, Machine Learning and AI expert for computational chemistry, Chinese with a love for opera and tech, ML Materializer; Organic Chemist Champion, blue-gold-black,superhero bodysuit with silver ML models and circuits
